Local Team,Visiting Team,Result,Locality,Local Result,Visiting Result,Status,Goal Difference
FC Barcelona,Brest,3-0,local,3,0,Win,3
Celta de Vigo,FC Barcelona,2-2,visiting,2,2,Draw,0
Real Sociedad,FC Barcelona,1-0,visiting,1,0,Lose,-1
Estrella Roja,FC Barcelona,2-5,visiting,2,5,Win,3
FC Barcelona,Espanyol,3-1,local,3,1,Win,2
Real Madrid,FC Barcelona,0-4,visiting,0,4,Win,4
FC Barcelona,Bayern,4-1,local,4,1,Win,3
FC Barcelona,Sevilla FC,5-1,local,5,1,Win,4
Alavés,FC Barcelona,0-3,visiting,0,3,Win,3
FC Barcelona,Young Boys,5-0,local,5,0,Win,5
Osasuna,FC Barcelona,4-2,visiting,4,2,Lose,-2
FC Barcelona,Getafe CF,1-0,local,1,0,Win,1
Villarreal CF,FC Barcelona,1-5,visiting,1,5,Win,4
Monaco,FC Barcelona,2-1,visiting,2,1,Lose,-1
Girona FC,FC Barcelona,1-4,visiting,1,4,Win,3
